lat,lon,2017/08/16,
35.25,263.08334,61.23183, 
35.25,263.125,61.83494, 
35.25,263.16666,62.4596, 
35.25,263.20834,63.05327, 
35.25,263.25,63.574173, 
35.25,263.29166,63.958202, 
35.25,263.33334,64.556526, 
35.25,263.375,64.868095, 
35.25,263.41666,65.0709, 
35.25,263.45834,65.39435, 
35.25,263.5,65.61892, 
35.25,263.54166,65.74535, 
35.25,263.58334,65.23909, 
35.25,263.625,64.96309, 
35.25,263.66666,64.5777, 
35.25,263.70834,64.29978, 
35.25,263.75,63.602615, 
35.25,263.79166,63.545918, 
35.25,263.83334,63.867306, 
35.25,263.875,64.50919, 
35.25,263.91666,65.35414, 
35.25,263.95834,65.978424, 
35.25,264.0,66.68564, 
35.25,264.04166,67.067345, 
35.25,264.08334,67.67675, 
35.25,264.125,68.00703, 
35.25,264.16666,68.250626, 
35.25,264.20834,68.25269, 
35.25,264.25,68.488174, 
35.25,264.29166,68.853775, 
35.25,264.33334,69.40978, 
35.25,264.375,69.489586, 
35.25,264.41666,69.7705, 
35.25,264.45834,69.72089, 
35.25,264.5,69.44137, 
35.25,264.54166,69.85375, 
35.25,264.58334,70.36702, 
35.25,264.625,69.30356, 
35.25,264.66666,68.90857, 
35.25,264.70834,67.90437, 
35.25,264.75,67.317055, 
35.25,264.79166,67.9583, 
35.25,264.83334,70.97513, 
35.25,264.875,72.56526, 
35.25,264.91666,72.43556, 
35.25,264.95834,71.81581, 
35.25,265.0,71.147705, 
35.291668,260.0,54.117672, 
35.291668,260.04166,53.99097, 
35.291668,260.08334,53.82325, 
35.291668,260.125,53.392517, 
35.291668,260.16666,53.10728, 
35.291668,260.20834,52.33357, 
35.291668,260.25,51.45732, 
35.291668,260.29166,50.338795, 
35.291668,260.33334,48.85033, 
35.291668,260.375,48.43629, 
